text,name,id,lang
"@essbeck Riktigt där är man nog inte än, men för att kunna driva på intresset (och intäkterna!) så måste man vidare https://t.co/Zcd5Tp9Q6F",andersnorlen,439412015,sv
@JesperSahlen @flagerstrom @osynligahanden Bara att börja skriva motioner till årsmötet!,andersnorlen,439412015,sv
"@j1891_ @flagerstrom @osynligahanden Så ""no shows"" är omkring 15% av totalen? Intressant. Kan tänka mig att det framförallt är säsongskort",andersnorlen,439412015,sv
@Brgmstrgrdn @griskindspatrik @taddson MFF på Nya Ullevi,andersnorlen,439412015,sv
"@griskindspatrik @taddson @Brgmstrgrdn På allmän begäran - IFK Gbg

https://t.co/puvAtXeSDd",andersnorlen,439412015,sv
"Och slutligen på ""allmän"" begäran - #ifkgbg

IFK Gbg lider av en liten arena, men har gjort ett imponerande jobb 20 https://t.co/AOMvHzeJhy",andersnorlen,439412015,sv
"@flagerstrom @osynligahanden Här har det väl varit lite olika bud vad olika klubbar gör. Elfsborg har ju räknat ""bi https://t.co/tsh1buUn6B",andersnorlen,439412015,sv
"@bbe73 Nej, och det är ju en jävla miss. Men jag orkade inte gräva fram det.. ska kika på det vid tillfälle",andersnorlen,439412015,sv
"@FredrikMalm Svårt som fan att bryta ut då MFF inte särredovisar det, men det kan nog till viss del förklara den nå https://t.co/Ti8iRBCerY",andersnorlen,439412015,sv
@PaladinBajen Kärnpublik = publiksiffran på den hemmamatch med minst publik. För Bajen 2019 var det FFF när 18475 d https://t.co/Ygc7ReOYad,andersnorlen,439412015,sv
"@PaladinBajen Nej, Bajen är upp marginellt (från 55.3m till 55.9m) men jag har nog underskattat sökningen. Skattade https://t.co/99AYMTm41s",andersnorlen,439412015,sv
"En sak jag glömde att dela var ""yielden"" per klubb (total intäkt från match / med total AS publik)

Eftersom jag di https://t.co/m9xPqkNasF",andersnorlen,439412015,sv
Om man även ska ge sig på att som utomstående ha åsikter om implikationerna av detta så är det tydligt att Djurgård https://t.co/WsDYFK7NjH,andersnorlen,439412015,sv
"I rena intäkter per år så ser vi MFFs starka trend (lyfts ordentligt av EL 2018 och 19!), Bajens extrema stabilitet https://t.co/608sOYN36h",andersnorlen,439412015,sv
Om man ska dra slutsatser av detta så är det framförallt två: Bajens och MFFs stabilitet i sina publikintäkter ger https://t.co/lWlPWmqWQ3,andersnorlen,439412015,sv
MFF har precis som Bajen högt kapacitetsutnyttjande och en stor kärna vilket gör ökat hemmasnitt svårt att få till https://t.co/lQLZlqJ4XX,andersnorlen,439412015,sv
"Bajens mycket stora och lojala publik ger begränsade möjligheter att öka snittet ytterligare, om inte kärnan kan vä https://t.co/mYR1iF5o8D",andersnorlen,439412015,sv
Djurgården har en relativt stor andel ständigt återkommande publik men måste öka den absoluta storleken på den. Sto https://t.co/55pLvQcuCx,andersnorlen,439412015,sv
"Gnaget har stor volatilitet i sina siffror, vilket drar upp snittet. Relativt liten kärnpublik på runt 50% och stor https://t.co/TF1KSdKu6U",andersnorlen,439412015,sv
"Notera att det jag definierar som ""kärnpublik"" helt enkelt är den hemmamatchen med lägst publik multiplicerat med 1 https://t.co/GcZGghZTIj",andersnorlen,439412015,sv
"Så om vi tar och kikar klubb för klubb och fokuserar på de fyra stora - Djurgårn, gnaget, Bajen, MFF - så ser utfal https://t.co/yvhGutNNdS",andersnorlen,439412015,sv
Publik är viktigt därför att det står för styvt sagt 40-55% av de underliggande intäkterna för de svenska storklubb https://t.co/J1Co48Mtxq,andersnorlen,439412015,sv
Med Allsvenskan 2019 lagd till handlingarna kan det vara kul att kika lite närmare på ett ämne som engagerar suppor https://t.co/1IReMgcF9U,andersnorlen,439412015,sv
@jeppe_e Allt har ett pris..,andersnorlen,439412015,sv
