text,name,id,lang,translated
"Kuopion Palloseuran joulupajassa tehdään pitkää päivää ja paketoidaan keltamustia joululahjoja.

Hanki sinäkin omas https://t.co/rOLvesSQQC",KuPS1923,244668458.0,fi,Christmas Day at the Kuopio Palloseura Society is a long day and packing yellow-black Christmas presents. Get yours too https://t.co/rOLvesSQQC
" Keskikenttäpelaaja
 Norjan mestari
 Monivuotinen sopimus

Kuopion Palloseura ja Nana Boateng pelaajasopimuksee https://t.co/mmtZi79e5S",KuPS1923,244668458.0,fi,Midfielder Norwegian Champion Multi-year contract Kuopio Palloseura and Nana Boateng Player Agreement https://t.co/mmtZi79e5S
RT @JonneLindblom: Kuopiossa kuulemma kaivattiin maireaa pommia. Watch this space... #Veikkausliiga,KuPS1923,244668458.0,fi,RT @JonneLindblom: Kuopio reportedly needed a mair bomb. Watch this space ... #League League
RT @Kuopionkaupunki: #Kuopio'laisilta urheilu- ja kulttuuritoimijoilta erilainen joululahja: #lainattava uusi elämys! @KuopionKirjasto pääk,KuPS1923,244668458.0,fi,RT @Kuopionkaupunki: # A different Christmas present from sports and cultural players in Kuopio: # lend a new experience! @KuopionLibrary Main
Keskuskentän jalkapallostadionin tilat ovat puutteelliset. Katsojille ei ole tarpeeksi palveluita ja pelaajat joutu https://t.co/TeSu6hvUMy,KuPS1923,244668458.0,fi,There is a shortage of space on the football field in the center. There are not enough services for viewers and players need to https://t.co/TeSu6hvUMy
Kuopion Palloseura toivottaa hyvää itsenäisyyspäivää! https://t.co/JzX6VgUQ8j,KuPS1923,244668458.0,fi,Kuopio Palloseura wishes you a Happy Independence Day! https://t.co/JzX6VgUQ8j
RT @JonneLindblom: Nigerian winger Usman Sale moves to KuPS from Norwegian club Viking Stavanger. Welcome to Kuopio Usman! #KuPS #kuopionpa,KuPS1923,244668458.0,en,
"""Lupaan antaa kaikkeni tälle joukkueelle.

Kuopion Palloseura ja Usman Sale pelaajasopimukseen: https://t.co/CjzdY7fJOi",KuPS1923,244668458.0,fi,&quot;I promise to give my best to this team. Kuopio Palloseura and Usman Sale Player Agreement: https://t.co/CjzdY7fJOi
Ilmari Niskanen vieraili Veikkausliigan mestaruuspokaalin kanssa kotiseudullaan Kiuruvedellä. #KuPS #veikkausliiga https://t.co/3LTADKyAk7,KuPS1923,244668458.0,fi,Ilmari Niskanen visited the Veikkausliiga Championship Trophy in his native Kiuruvesi. #KuPS #basketball league https://t.co/3LTADKyAk7
"""On aika iso hyppy tulla Kakkosesta ylös, mutta olen tyytyväinen omiin liigapeleihini.""

Kuopion Palloseura ja Artt https://t.co/dh2u7hvZlQ",KuPS1923,244668458.0,fi,"&quot;It&#39;s a pretty big jump Kakkonen come up, but I&#39;m happy with my liigapeleihini.&quot; Kuopio Palloseura and Artt https://t.co/dh2u7hvZlQ"
"Paluu harjoituksiin! 

Joukkue muodostuu tällä hetkellä nuorista savolaispelaajista ja suomalaisista sopimuspela https://t.co/CyzufdjfZB",KuPS1923,244668458.0,fi,Back to the exercises! The team is currently made up of young Savo players and Finnish contract players https://t.co/CyzufdjfZB
" Harjoituskausi aloitettu loistavissa olosuhteissa Lippumäen uudessa ylipainehallissa.

#KuPS #veikkausliiga https://t.co/gHalS60muV",KuPS1923,244668458.0,fi,The training season started in excellent conditions at Lippumäki&#39;s new overpressure hall. #KuPS #health League https://t.co/gHalS60muV
"Stadion kuntoon nyt - VAIKUTA!

Mölymäen aluetta rakennetaan, mutta jalkapallostadionille ei tehdä mitään.

Kuntala https://t.co/rp4azYIORG",KuPS1923,244668458.0,fi,"Get the stadium up and running now - IMPACT! The Mölymäki area is under construction, but nothing is being done to the football stadium. Kuntala https://t.co/rp4azYIORG"
"RT @KuPS1923: Kuopion kaupungin asukkaat ja keskuskentän jalkapallostadionin käyttäjät ovat sitä mieltä, että stadion on rakennettava loppu",KuPS1923,244668458.0,fi,RT @ KuPS1923: Kuopio City residents and downtown football stadium users think the stadium needs to be completed
"KuPStoressa puolen yön jälkeen paljon fanituotteita edullisin hinnoin:

Mestaruuspaidat ja -lippikset -50%
Mestar https://t.co/vJ3SZkRI6A",KuPS1923,244668458.0,fi,KuPStoressa after midnight much merchandise at affordable prices: Championship Shirts and -lippikset -50% of the Master https://t.co/vJ3SZkRI6A
"Laukauksellaan Suomen mestaruuden Kuopioon sinetöinyt Ilmari Niskanen on ehdolla Vuoden kuopiolaiseksi.

änestä Im https://t.co/XNFEf1LwTD",KuPS1923,244668458.0,fi,"With his shot, Ilmari Niskanen, who has sealed the Finnish Championship in Kuopio, is nominated for Kuopio of the Year. vote Im https://t.co/XNFEf1LwTD"
"KuPS pelaa joulukuussa kaksi harjoituspeliä Lippumäen uudessä hallissa:

 14.12. KuPS - JIPPO
 21.12. KuPS - MP https://t.co/ej7stTWQxS",KuPS1923,244668458.0,fi,KuPS will play two training games in the new Lippumäki hall in December: 14.12. KuPS - JIPPO 21.12. KuPS - MP https://t.co/ej7stTWQxS
"BLACK FRIDAY!

Kaikki mestaruus t-paidat -50% vain tulevana perjantaina! Lisää tarjouksia luvassa tulevina päivinä. https://t.co/06hJk0zpYL",KuPS1923,244668458.0,fi,BLACK FRIDAY! All Championship T-Shirts -50% Only this coming Friday! More offers coming in the coming days. https://t.co/06hJk0zpYL
Kuntalaisaloite Keskuskentän jalkapallostadionin loppuun rakentamisesta on kerännyt alle vuorokaudessa yli 1000 nim https://t.co/Sd8yATctDQ,KuPS1923,244668458.0,fi,"A municipal initiative to complete the construction of the Central Stadium Football Stadium has garnered more than 1,000 names in less than 24 hours https://t.co/Sd8yATctDQ"
Suomen Palloliiton Itä-Suomen piiri on antanut Kuopion Palloseuralle Vuoden seura ja Vuoden tapahtuma -palkinnot. J https://t.co/ED8nxzFWMA,KuPS1923,244668458.0,fi,The Eastern Finland District of the Football Association of Finland has awarded Kuopio Palloseura with the Club of the Year and Event of the Year awards. J https://t.co/ED8nxzFWMA
"Kuopion kaupungin asukkaat ja keskuskentän jalkapallostadionin käyttäjät ovat sitä mieltä, että stadion on rakennet https://t.co/WtUsnChTB5",KuPS1923,244668458.0,fi,Kuopio City residents and downtown football stadium users think the stadium is built https://t.co/WtUsnChTB5
Vapaaehtoisryhmä KuPS IV vietti pelikauden 2019 päättäjäisiä: https://t.co/KQS3i5AZgd https://t.co/6pV2ujwO5L,KuPS1923,244668458.0,fi,KuPS IV volunteer group celebrated the 2019 closing season: https://t.co/KQS3i5AZgd https://t.co/6pV2ujwO5L
"Kuopion Palloseuran some-yhteisöjen kasvu oli suurinta koko Veikkausliigassa.

Vuosiraportti miesten ja naisten jou https://t.co/OaSozxxJrp",KuPS1923,244668458.0,fi,Kuopio Palloseura&#39;s social networking growth was highest in the Veikkausliiga. Annual report for men and women Dec https://t.co/OaSozxxJrp
